"ogc_fid","id","type","height","ele","area","date","heightscore","name","minheight","levels","color","material","minlevel","orient","roofheight","roofshape","roofcolor","roofmaterial","rooflevels","country","geom","avg_elevation","absolute_top","bldg_footprint_centroid","test_bldg_id","roof_center","geom_4326"
424018,"0573478-0bccf5a-09","residence","5.5","132.7","123.1",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000008871EE58D36A60C1333968689DEC51418FD3BBDCD36A60C18E7FAA8C9AEC5141E6F055DFD16A60C19B48F12799EC5141C37C185FD16A60C1A45589FA9BEC51418871EE58D36A60C1333968689DEC5141","129","134.5","0101000020110F000021DAA99DD26A60C109F41C469BEC5141",11,"0101000020E6100000A4679D1E925453C0058F5DA27A6B4340","0106000020E6100000010000000103000000010000000500000032E719FB925453C04F92AE997C6B4340BF594A96935453C032E197FA796B43400F45813E915453C0740470B3786B43406A9082A7905453C0C139234A7B6B434032E719FB925453C04F92AE997C6B4340"
423913,"057347f-0bccf99-0c","residence","4.3","130.2","181.5",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000070000008B5DF6C9D16A60C15FF3FDABBDEC5141B72E436AD26A60C1C0732F50BAEC5141FB8C00C9CF6A60C17F871B59B8EC5141BC06534CCF6A60C1610C89E2BAEC514184ECEE1AD06A60C1EC40087EBBEC5141B2B3BFF3CF6A60C169136950BCEC51418B5DF6C9D16A60C15FF3FDABBDEC5141","126","130.3","0101000020110F00007437F6DFD06A60C1CA97E6F6BAEC5141",12,"0101000020E6100000C8908A30905453C0763196E9976B4340","0106000020E610000001000000010300000001000000070000009ED15625915453C03F4E98309A6B43406D3315E2915453C0C0D7101C976B434003FF5BC98E5453C0FA3DB14E956B434045088F368E5453C0C39448A2976B4340DF0ED4298F5453C099CDE330986B4340E6E5B0FB8E5453C052EDD3F1986B43409ED15625915453C03F4E98309A6B4340"
424009,"0573430-0bccf36-0e","residence","5.9","129","199.6",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000005693783DE46A60C132697E1D8DEC5141DB065F1EE66A60C1DD55C19387EC51419E7635DAE46A60C110D7B6DC85EC51413315BFF5E26A60C14F1D4E5D8BEC51415693783DE46A60C132697E1D8DEC5141","130","135.9","0101000020110F00004745718AE46A60C1D6088B7C89EC5141",13,"0101000020E610000022A3833AA75453C002BDD6506A6B4340","0106000020E61000000100000001030000000100000005000000397AFCDEA65453C02C077AA86D6B4340A99F3715A95453C006103E94686B4340211E8997A75453C0F5D89601676B4340C83A1C5DA55453C04B546F0D6C6B4340397AFCDEA65453C02C077AA86D6B4340"
423911,"057344d-0bccf96-09","residence","5.6","127.7","120.1",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000B4742A93DD6A60C1B0DCA5E2BBEC514185B2171EDE6A60C15463E08FB7EC5141EC8E8EC4DC6A60C1340D16E2B6EC51411B51A139DC6A60C13073DB34BBEC5141B4742A93DD6A60C1B0DCA5E2BBEC5141","125","130.6","0101000020110F00003682DC2BDD6A60C1F4F05D62B9EC5141",14,"0101000020E61000001AA2478C9E5453C0A04EF641966B4340","0106000020E61000000100000001030000000100000005000000CB24EA059F5453C08E1F2A8D986B43402A137EA99F5453C0119A2496946B4340311EA5129E5453C09B69C2F6936B4340D22F116F9D5453C017EFC7ED976B4340CB24EA059F5453C08E1F2A8D986B4340"
424008,"0573448-0bccf29-08","residence","4.3","129.2","163.8",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000068AFE14CDF6A60C16A93835385EC514168AFE14CDF6A60C1A39D642E80EC51410F088AA8DD6A60C1A39D642E80EC51410F088AA8DD6A60C16A93835385EC514168AFE14CDF6A60C16A93835385EC5141","128.5","132.8","0101000020110F0000BCDBB57ADE6A60C18618F4C082EC5141",15,"0101000020E6100000C05C8B16A05453C02BD9C727646B4340","0106000020E610000001000000010300000001000000050000004221020EA15453C0BE97C283666B43404221020EA15453C08BF2CCCB616B43403C98141F9F5453C08BF2CCCB616B43403C98141F9F5453C0BE97C283666B43404221020EA15453C0BE97C283666B4340"
423909,"057344e-0bccfa4-0e","residence","5.2","126.7","235",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000007000000986C365EDE6A60C12996F950C1EC51410D17C4D3DE6A60C19DA58BC7BEEC51411B51A139DC6A60C1747F77D0BCEC5141B0F9A61CDB6A60C16DFEAC75C2EC5141099C405DDC6A60C1FD0A86A3C3EC5141DBD92DE8DC6A60C13F6C913EC0EC5141986C365EDE6A60C12996F950C1EC5141","125","130.2","0101000020110F0000B58439D0DC6A60C1735124F6BFEC5141",16,"0101000020E61000003A3E15939E5453C04AB89BE09B6B4340","0106000020E610000001000000010300000001000000070000007F6DFDF49F5453C044A33B889D6B43406BE8667FA05453C0794CA4349B6B4340D22F116F9D5453C0B7B24467996B434045D7851F9C5453C04E1DAB949E6B4340E59A02999D5453C02B137EA99F6B43404489963C9E5453C0DA20938C9C6B43407F6DFDF49F5453C044A33B889D6B4340"
424016,"057345c-0bccf64-0f","residence","4.1","129.9","214.9",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000A8921B35DA6A60C13459B50DA4EC51410B8D0632DB6A60C115A1DFA8A1EC5141A2211486D86A60C149A234DF9CEC51415B399985D76A60C1885599289FEC5141A8921B35DA6A60C13459B50DA4EC5141","129","133.1","0101000020110F000068A4915DD96A60C1CD674572A0EC5141",17,"0101000020E61000000BEF450D9A5453C06837535A7F6B4340","0106000020E61000000100000001030000000100000005000000519FE40E9B5453C0B187F6B1826B4340B64AB0389C5453C02820ED7F806B434093DC6113995453C01951DA1B7C6B4340477364E5975453C03145B9347E6B4340519FE40E9B5453C0B187F6B1826B4340"
423926,"057345e-0bccf76-09","residence","4.4","129","129.7",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000033E3CF5BD96A60C12C2E6BC5ABEC514129903C03DA6A60C1FE28D4BBA7EC5141A2211486D86A60C1B9DDB7BBA6EC5141AD74A7DED76A60C10C5E74CEAAEC514133E3CF5BD96A60C12C2E6BC5ABEC5141","127.5","131.9","0101000020110F00000EC1BDF0D86A60C143B36242A9EC5141",18,"0101000020E61000008AE4E190995453C0A82BB37A876B4340","0106000020E61000000100000001030000000100000005000000FE5E0A0F9A5453C07EFFE6C5896B43409F3C2CD49A5453C08558FD11866B434093DC6113995453C0BDCD1B27856B4340F4FE3F4E985453C082F068E3886B4340FE5E0A0F9A5453C07EFFE6C5896B4340"
423924,"0573476-0bccf7e-0a","residence","5.8","130.5","141.7",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,108,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000001A2EECCAD36A60C108AC46A1AFEC5141CF596959D46A60C1935DF8E0ACEC51414AE1C414D26A60C11BE15505ABEC5141B0C7B782D16A60C1D60DA4C5ADEC51411A2EECCAD36A60C108AC46A1AFEC5141","126","131.8","0101000020110F00006776B8EED26A60C1FC127953ADEC5141",19,"0101000020E61000002CCE9C7D925453C0FF89CE328B6B4340","0106000020E6100000010000000103000000010000000500000038A45181935453C0633BDF4F8D6B43407E501729945453C0B9FDF2C98A6B4340AA656B7D915453C066D7BD15896B43407AFB73D1905453C01215AA9B8B6B434038A45181935453C0633BDF4F8D6B4340"
424021,"057344e-0bccf38-09","residence","4.9","129.8","117.4",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000F5F05B48DD6A60C176D506C28CEC514161439801DE6A60C11726BECA88EC5141AD0D9FABDC6A60C114A7A2CA87EC51415CCDD2EEDB6A60C1433CEBC18BEC5141F5F05B48DD6A60C176D506C28CEC5141","129.5","134.4","0101000020110F00003F4EE4F8DC6A60C181870D478AEC5141",20,"0101000020E6100000BD193F509E5453C09F1A950D6B6B4340","0106000020E61000000100000001030000000100000005000000C190D5AD9E5453C00B3197546D6B4340E923F0879F5453C0B18174B1696B4340D8EC48F59D5453C0E7F692C6686B4340C79BFC169D5453C03FA6B5696C6B4340C190D5AD9E5453C00B3197546D6B4340"
424020,"0573454-0bccf47-0b","residence","4.7","130.5","174.5",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000008D80AB38DA6A60C16C14B13994EC5141FF48AD04DD6A60C105D6081E92EC514112F94F7DDC6A60C1A880714B8FEC5141A0304EB1D96A60C1A1273F7091EC51418D80AB38DA6A60C16C14B13994EC5141","129.5","134.2","0101000020110F0000C8D6A15BDB6A60C1000639C491EC5141",21,"0101000020E6100000F5C50B699C5453C03CA530EF716B4340","0106000020E61000000100000001030000000100000005000000395D16139B5453C02346CF2D746B43408578245E9E5453C01DBDE13E726B43400E48C2BE9D5453C0D2872EA86F6B4340C22CB4739A5453C0A88C7F9F716B4340395D16139B5453C02346CF2D746B4340"
423895,"0573463-0bccfde-0e","residence","5.1","128.5","217.6",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000054D7CB01D76A60C147648F94E0EC5141D7542EAAD96A60C11E917A2FDCEC5141AC7E23A6D86A60C14B62A1CAD9EC51417A3711F3D56A60C1FC3E63DDDDEC514154D7CB01D76A60C147648F94E0EC5141","125","130.1","0101000020110F0000A6F375CCD76A60C1176C7624DDEC5141",22,"0101000020E6100000C3E1B642985453C0113799F1B66B4340","0106000020E61000000100000001030000000100000005000000B900344A975453C06BD44334BA6B4340F2B0506B9A5453C04E57772CB66B4340BE892139995453C0C8EF6DFAB36B4340CB9F6F0B965453C08F12BBB6B76B4340B900344A975453C06BD44334BA6B4340"
424022,"0573472-0bccf2b-0a","residence","5.6","134.5","169",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000073CBC7A7D46A60C15749D2DC86EC51418DE2F507D56A60C147938DAE81EC5141504D0E60D36A60C16D76A53781EC51411B247003D36A60C19A1CEA6586EC514173CBC7A7D46A60C15749D2DC86EC5141","129","134.6","0101000020110F00003B5FE604D46A60C167AB530984EC5141",23,"0101000020E6100000900392C5935453C0453FC555656B4340","0106000020E6100000010000000103000000010000000500000073A25D85945453C0BE6378EC676B4340EEA99CF6945453C0BA421F2C636B434001637D03935453C026F911BF626B43406E197096925453C02A1A6B7F676B434073A25D85945453C0BE6378EC676B4340"
423910,"057344e-0bccfa6-03",NULL,"2.7",NULL,"13.6",NULL,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000009005AB76DD6A60C14CAF54ACC0EC5141366D8DFDDC6A60C1E53C025AC0EC5141EC8E8EC4DC6A60C1074197B5C1EC51414727AC3DDD6A60C152B6E907C2EC51419005AB76DD6A60C14CAF54ACC0EC5141","124","126.7","0101000020110F00004DCA9C1DDD6A60C10BF9F530C1EC5141",24,"0101000020E6100000FAA9807B9E5453C0BA72DF6A9D6B4340","0106000020E610000001000000010300000001000000050000008A355CE49E5453C09CEE3CF19C6B4340B5FCC0559E5453C04B94BDA59C6B4340311EA5129E5453C037F581E49D6B4340075740A19E5453C08C4F01309E6B43408A355CE49E5453C09CEE3CF19C6B4340"
423990,"057346f-0bccf1e-0c","residence","5.4","134.4","255.2",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000047F5BCA3D36A60C1A46ECE0980EC51410BF40E65D66A60C1EBB4D8127FEC5141CC6D61E8D56A60C18A0F7D5B7AEC5141D14A2F2ED36A60C174602E807BEC514147F5BCA3D36A60C1A46ECE0980EC5141","129","134.4","0101000020110F00001A4C2DCAD46A60C1D3D0863D7DEC5141",25,"0101000020E6100000AEAAA7AC945453C048CF52245F6B4340","0106000020E610000001000000010300000001000000050000003D7B2E53935453C04B033FAA616B4340D05CA791965453C052F4C0C7606B43401266DAFE955453C0E31C75745C6B43404F00C5C8925453C0EE96E4805D6B43403D7B2E53935453C04B033FAA616B4340"
427135,"0573448-0bccce4-0d","education","8.4","113.5","223.1",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000070000008E14E5A1DE6A60C1140805CB63EB51419DDD3D0DE06A60C18548C9CA60EB5141B18DE085DF6A60C1346BB5CA5FEB514127386EFBDF6A60C19D23ECDC5EEB5141F30454D7DE6A60C1A9250AAF5CEB51416D916DF6DC6A60C184E00E9D60EB51418E14E5A1DE6A60C1140805CB63EB5141","108","116.4","0101000020110F0000B90DDBA0DE6A60C148B2134560EB5141",26,"0101000020E61000003CFA910DA05453C037016DAB596A4340","0106000020E61000000100000001030000000100000007000000BA85AE44A05453C0FF1B7BF65C6A43403B3080F0A15453C0A17BD6355A6A4340C5FF1D51A15453C0D7F0F44A596A4340B37A87DBA15453C0AF5DDA70586A434055A69883A05453C008DD2571566A4340E5805D4D9E5453C09010E50B5A6A4340BA85AE44A05453C0FF1B7BF65C6A4340"
427132,"057345c-0bcccb1-0d","education","6.4","117.6","280.8",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000BB4C3A75DA6A60C1929110494AEB5141CC0B1719DB6A60C145BD523644EB514162A5E2D0D86A60C19DDD643F43EB514151E6052DD86A60C1478B225249EB5141BB4C3A75DA6A60C1929110494AEB5141","115","121.4","0101000020110F0000207A0EA3D96A60C14AAF3AC446EB5141",27,"0101000020E61000002536ED629A5453C0F5B8BC56426A4340","0106000020E61000000100000001030000000100000005000000A5F9635A9B5453C0E1C80391456A43405D19541B9C5453C08690F3FE3F6A43409F70766B995453C08B81751C3F6A4340E75086AA985453C0E9B985AE446A4340A5F9635A9B5453C0E1C80391456A4340"
427143,"0573486-0bccc57-0f","residence","7.3","120.4","226.2",202209,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000076191AE8CD6A60C150BD10581DEB5141D52CBBD7D06A60C132F274C518EB51413C0EF0E1CF6A60C1EF2F6D4E16EB5141DDFA4EF2CC6A60C12479E3D71AEB514176191AE8CD6A60C150BD10581DEB5141","118.333333333333","125.633333333333","0101000020110F0000174784E4CE6A60C14C35FDD119EB5141",28,"0101000020E61000007AA1B6BD8D5453C0AE7CAC19196A4340","0106000020E6100000010000000103000000010000000500000094D920938C5453C0035B25581C6A4340F15F2008905453C0D5726726186A43405D30B8E68E5453C0AD1397E3156A434000AAB8718B5453C00980F10C1A6A434094D920938C5453C0035B25581C6A4340"
